Asset_ID,Machine_Model,Location,Vibration,Temperature,Pressure,Flow_Rate,Operating_Hours,Health_Status,Remaining_Useful_Life_Hours,Fault_Type
PUMP_0764,Titan-X3,Offshore-Platform-B,5.0,56.3,124.6,225.7,20836,Warning,1664,Impeller Damage
PUMP_0116,Nova-P,Onshore-Terminal-2,7.97,62.9,145.7,247.8,7659,Warning,1147,Rotor Imbalance
PUMP_0187,Atlas-7,Onshore-Terminal-2,7.91,57.6,139.6,248.8,28179,Warning,1253,Rotor Imbalance
PUMP_0192,Titan-X2,Offshore-Platform-B,7.88,62.7,132.0,232.6,28631,Critical,255,Coupling Failure
PUMP_0496,Nova-P,Offshore-Platform-B,7.13,76.7,146.2,249.3,15254,Warning,1428,Bearing Failure
PUMP_0356,Titan-X3,CPF-1,2.11,61.3,146.1,251.9,14342,Normal,7325,Normal
PUMP_0346,Hydra-500,Onshore-Terminal-2,2.09,57.6,146.2,249.5,5430,Normal,7110,Normal
PUMP_0144,Nova-P,Offshore-Platform-A,4.85,60.0,135.3,231.8,10262,Warning,868,Corrosion / Wear
PUMP_0659,Atlas-7,Onshore-Terminal-2,10.0,71.2,148.8,252.7,11350,Critical,100,Shaft Misalignment
PUMP_0710,Nova-P,CPF-1,2.64,62.1,147.1,246.8,15109,Normal,7159,Normal
PUMP_0553,Titan-X3,CPF-1,5.82,66.9,127.0,208.1,14067,Critical,450,Cavitation
PUMP_0280,Atlas-7,CPF-1,4.46,73.1,146.2,249.7,19438,Normal,2969,Bearing Failure
PUMP_0342,Hydra-500,Onshore-Terminal-1,2.63,60.7,145.5,252.1,11665,Normal,6890,Lubrication Failure
PUMP_0066,Hydra-500,Offshore-Platform-B,2.86,69.6,141.3,235.5,9830,Normal,3775,Motor Failure
PUMP_0107,Titan-X2,Onshore-Terminal-2,2.22,64.5,146.6,246.9,2017,Normal,6787,Normal
PUMP_0353,Hydra-500,CPF-1,3.68,65.1,128.1,223.3,20781,Warning,1049,Seal Failure
PUMP_0413,Hydra-500,Onshore-Terminal-1,2.97,60.4,146.8,246.3,24599,Normal,7241,Normal
PUMP_0513,Titan-X3,Offshore-Platform-A,2.32,62.0,135.7,249.0,25305,Normal,7918,Cavitation
PUMP_0675,Titan-X2,CPF-1,2.82,61.6,146.2,249.9,9668,Normal,8871,Normal
PUMP_0195,Titan-X3,Offshore-Platform-A,2.24,59.2,147.5,250.7,20783,Normal,7963,Normal
PUMP_0877,Nova-P,Offshore-Platform-A,7.72,68.7,143.3,251.1,26514,Warning,601,Shaft Misalignment
PUMP_0290,Nova-P,CPF-1,5.68,78.6,146.9,245.9,20197,Warning,755,Lubrication Failure
PUMP_0697,Titan-X2,Onshore-Terminal-1,2.35,61.1,128.8,232.7,20382,Warning,2372,Seal Failure
PUMP_0453,Nova-P,Offshore-Platform-B,2.41,58.3,147.6,250.4,28164,Normal,9000,Normal
PUMP_0449,Nova-P,Onshore-Terminal-1,4.13,71.3,126.6,210.6,3462,Warning,1001,Cavitation
PUMP_0277,Nova-P,Offshore-Platform-A,4.74,59.3,137.1,242.7,28203,Warning,2222,Coupling Failure
PUMP_0285,Nova-P,Offshore-Platform-B,2.5,58.2,143.5,250.3,25446,Normal,7154,Valve Malfunction
PUMP_0736,Titan-X2,Offshore-Platform-B,3.74,65.7,119.7,208.0,3866,Warning,896,Suction Blockage
PUMP_0025,Titan-X2,Offshore-Platform-A,3.02,60.1,149.3,243.5,1148,Normal,2954,Valve Malfunction
PUMP_0570,Nova-P,CPF-1,6.82,72.5,143.9,249.7,27973,Warning,2106,Shaft Misalignment
PUMP_0455,Nova-P,Offshore-Platform-A,2.83,79.2,136.1,226.2,11519,Warning,2600,Motor Failure
PUMP_0232,Titan-X3,Onshore-Terminal-1,5.08,59.9,127.2,213.2,20206,Warning,1276,Cavitation
PUMP_0497,Atlas-7,Onshore-Terminal-1,3.81,60.1,143.1,258.5,1224,Normal,3387,Valve Malfunction
PUMP_0704,Atlas-7,Offshore-Platform-A,4.08,60.9,132.1,218.3,27236,Warning,1675,Impeller Damage
PUMP_0662,Titan-X2,Offshore-Platform-A,4.2,63.4,134.2,227.6,24283,Warning,1916,Cavitation
PUMP_0672,Titan-X2,Offshore-Platform-A,2.43,62.4,148.1,246.1,15388,Normal,6888,Normal
PUMP_0131,Nova-P,Offshore-Platform-B,6.64,69.7,144.5,243.4,27649,Warning,1474,Shaft Misalignment
PUMP_0284,Nova-P,Offshore-Platform-B,4.56,60.6,129.4,212.4,10288,Warning,1578,Suction Blockage
PUMP_0380,Hydra-500,Onshore-Terminal-2,6.31,61.4,137.2,233.9,10848,Warning,1954,Coupling Failure
PUMP_0885,Titan-X3,Onshore-Terminal-1,3.47,85.5,132.3,212.2,11208,Warning,1440,Motor Failure
PUMP_0856,Titan-X3,Offshore-Platform-A,5.59,62.0,137.2,241.5,25077,Warning,2085,Coupling Failure
PUMP_0397,Atlas-7,Offshore-Platform-A,3.3,64.8,128.1,225.5,7472,Warning,1030,Seal Failure
PUMP_0561,Nova-P,Onshore-Terminal-1,4.55,73.7,164.3,212.6,4979,Warning,679,Discharge Blockage
PUMP_0614,Hydra-500,Offshore-Platform-A,3.12,55.2,143.3,244.1,14124,Normal,5540,Corrosion / Wear
PUMP_0086,Titan-X2,Onshore-Terminal-1,1.74,58.8,142.5,247.6,11543,Normal,8670,Normal
PUMP_0482,Titan-X3,Offshore-Platform-A,2.58,61.9,145.1,250.8,9924,Normal,3916,Valve Malfunction
PUMP_0638,Hydra-500,CPF-1,3.35,62.7,155.0,234.3,10575,Normal,4401,Discharge Blockage
PUMP_0473,Nova-P,Offshore-Platform-B,4.52,62.0,111.2,191.2,12794,Critical,185,Suction Blockage
PUMP_0252,Nova-P,Offshore-Platform-B,3.83,108.6,117.3,189.5,1785,Critical,140,Motor Failure
PUMP_0578,Nova-P,Offshore-Platform-A,7.26,73.9,140.8,241.8,2768,Warning,1207,Shaft Misalignment
PUMP_0515,Titan-X3,Offshore-Platform-B,4.62,60.7,149.5,249.0,15758,Normal,4460,Shaft Misalignment
PUMP_0711,Titan-X2,Onshore-Terminal-1,2.92,59.3,122.4,222.9,28695,Critical,471,Seal Failure
PUMP_0184,Titan-X2,Offshore-Platform-B,4.06,56.0,149.7,228.2,23338,Normal,2600,Cavitation
